7.8075E-02;1.5615E-06
7.8764E-02;1.5753E-06
7.8816E-02;1.5763E-06
7.9025E-02;1.5805E-06
7.9040E-02;1.5808E-06
7.9252E-02;1.5850E-06
7.9394E-02;1.5879E-06
7.9405E-02;1.5881E-06
7.9450E-02;1.5890E-06
7.9532E-02;1.5906E-06
7.9599E-02;1.5920E-06
7.9606E-02;1.5921E-06
7.9878E-02;1.5976E-06
7.9882E-02;1.5976E-06
7.9889E-02;1.5978E-06
7.9897E-02;1.5979E-06
7.9941E-02;1.5988E-06
7.9997E-02;1.5999E-06
8.0042E-02;1.6008E-06
8.0150E-02;1.6030E-06
8.0258E-02;1.6052E-06
8.0277E-02;1.6055E-06
8.0299E-02;1.6060E-06
8.0329E-02;1.6066E-06
8.0366E-02;1.6073E-06
8.0411E-02;1.6082E-06
8.0474E-02;1.6095E-06
8.0482E-02;1.6096E-06
8.0519E-02;1.6104E-06
8.0709E-02;1.6142E-06
8.0728E-02;1.6146E-06
8.0944E-02;1.6189E-06
8.0996E-02;1.6199E-06
8.1018E-02;1.6204E-06
8.1022E-02;1.6204E-06
8.1070E-02;1.6214E-06
8.1074E-02;1.6215E-06
8.1100E-02;1.6220E-06
8.1115E-02;1.6223E-06
8.1126E-02;1.6225E-06
8.1160E-02;1.6232E-06
8.1186E-02;1.6237E-06
8.1189E-02;1.6238E-06
8.1249E-02;1.6250E-06
8.1297E-02;1.6259E-06
8.1316E-02;1.6263E-06
8.1528E-02;1.6306E-06
8.1558E-02;1.6312E-06
8.1562E-02;1.6312E-06
8.1573E-02;1.6315E-06
8.1588E-02;1.6318E-06
8.1618E-02;1.6324E-06
8.1636E-02;1.6327E-06
8.1670E-02;1.6334E-06
8.1756E-02;1.6351E-06
8.1808E-02;1.6362E-06
8.1856E-02;1.6371E-06
8.1994E-02;1.6399E-06
8.2061E-02;1.6412E-06
8.2136E-02;1.6427E-06
8.2277E-02;1.6455E-06
8.2404E-02;1.6481E-06
8.2497E-02;1.6499E-06
8.2545E-02;1.6509E-06
8.2572E-02;1.6514E-06
8.2653E-02;1.6531E-06
8.2706E-02;1.6541E-06
8.2713E-02;1.6543E-06
8.2769E-02;1.6554E-06
8.2817E-02;1.6563E-06
8.2892E-02;1.6578E-06
8.2918E-02;1.6584E-06
8.2966E-02;1.6593E-06
8.3015E-02;1.6603E-06
8.3033E-02;1.6607E-06
8.3045E-02;1.6609E-06
8.3093E-02;1.6619E-06
8.3097E-02;1.6619E-06
8.3108E-02;1.6622E-06
8.3220E-02;1.6644E-06
8.3343E-02;1.6669E-06
8.3346E-02;1.6669E-06
8.3402E-02;1.6680E-06
8.3462E-02;1.6692E-06
8.3518E-02;1.6704E-06
8.3592E-02;1.6718E-06
8.3633E-02;1.6727E-06
8.3726E-02;1.6745E-06
8.3756E-02;1.6751E-06
8.3853E-02;1.6771E-06
8.3875E-02;1.6775E-06
8.3901E-02;1.6780E-06
8.3980E-02;1.6796E-06
8.3983E-02;1.6797E-06
8.4032E-02;1.6806E-06
8.4237E-02;1.6847E-06
8.4341E-02;1.6868E-06
8.4360E-02;1.6872E-06
8.4404E-02;1.6881E-06
8.4479E-02;1.6896E-06
8.4498E-02;1.6900E-06
8.4509E-02;1.6902E-06
8.4665E-02;1.6933E-06
8.4743E-02;1.6949E-06
8.4743E-02;1.6949E-06
8.4810E-02;1.6962E-06
8.4874E-02;1.6975E-06
8.4889E-02;1.6978E-06
8.4907E-02;1.6981E-06
8.5034E-02;1.7007E-06
8.5045E-02;1.7009E-06
8.5049E-02;1.7010E-06
8.5067E-02;1.7013E-06
8.5168E-02;1.7034E-06
8.5280E-02;1.7056E-06
8.5291E-02;1.7058E-06
8.5302E-02;1.7060E-06
8.5384E-02;1.7077E-06
8.5418E-02;1.7084E-06
8.5447E-02;1.7089E-06
8.5455E-02;1.7091E-06
8.5485E-02;1.7097E-06
8.5626E-02;1.7125E-06
8.5656E-02;1.7131E-06
8.5880E-02;1.7176E-06
8.5906E-02;1.7181E-06
8.6006E-02;1.7201E-06
8.6137E-02;1.7227E-06
8.6174E-02;1.7235E-06
8.6219E-02;1.7244E-06
8.6349E-02;1.7270E-06
8.6476E-02;1.7295E-06
8.6625E-02;1.7325E-06
8.6640E-02;1.7328E-06
8.6681E-02;1.7336E-06
8.6722E-02;1.7344E-06
8.6722E-02;1.7344E-06
8.6736E-02;1.7347E-06
8.6736E-02;1.7347E-06
8.6755E-02;1.7351E-06
8.6759E-02;1.7352E-06
8.6811E-02;1.7362E-06
8.6871E-02;1.7374E-06
8.6964E-02;1.7393E-06
8.6990E-02;1.7398E-06
8.7023E-02;1.7405E-06
8.7075E-02;1.7415E-06
8.7098E-02;1.7420E-06
8.7098E-02;1.7420E-06
8.7239E-02;1.7448E-06
8.7247E-02;1.7449E-06
8.7250E-02;1.7450E-06
8.7306E-02;1.7461E-06
8.7370E-02;1.7474E-06
8.7370E-02;1.7474E-06
8.7429E-02;1.7486E-06
8.7474E-02;1.7495E-06
8.7511E-02;1.7502E-06
8.7530E-02;1.7506E-06
8.7537E-02;1.7507E-06
8.7582E-02;1.7516E-06
8.7586E-02;1.7517E-06
8.7638E-02;1.7528E-06
8.7642E-02;1.7528E-06
8.7657E-02;1.7531E-06
8.7668E-02;1.7534E-06
8.7686E-02;1.7537E-06
8.7739E-02;1.7548E-06
8.7779E-02;1.7556E-06
8.7854E-02;1.7571E-06
8.7973E-02;1.7595E-06
8.8055E-02;1.7611E-06
8.8100E-02;1.7620E-06
8.8141E-02;1.7628E-06
8.8156E-02;1.7631E-06
8.8208E-02;1.7642E-06
8.8227E-02;1.7645E-06
8.8457E-02;1.7691E-06
8.8718E-02;1.7744E-06
8.8729E-02;1.7746E-06
8.8767E-02;1.7753E-06
8.8774E-02;1.7755E-06
8.8815E-02;1.7763E-06
8.8875E-02;1.7775E-06
8.8938E-02;1.7788E-06
8.8964E-02;1.7793E-06
8.9050E-02;1.7810E-06
8.9050E-02;1.7810E-06
8.9165E-02;1.7833E-06
8.9176E-02;1.7835E-06
8.9530E-02;1.7906E-06
8.9556E-02;1.7911E-06
8.9664E-02;1.7933E-06
8.9664E-02;1.7933E-06
8.9683E-02;1.7937E-06
8.9743E-02;1.7949E-06
9.0298E-02;1.8060E-06
9.0916E-02;1.8183E-06
9.1047E-02;1.8209E-06
9.1404E-02;1.8281E-06
